Composite_Key,Matchday,Date,Comp,Season,Round,Opponent,Venue,Result,GF,GA,GD,xG,xGA,xGD,xGD - GD,Vela_Minutes_Played,Did_Vela_Play,GF - xGF,GA - xGA
2-2020,2,3/8/20,MLS,2020,Regular Season,Philadelphia Union,Home,D,3,3,0,2.8,1,1.8,1.8,90,1,0.2,2
3-2020,3,7/13/20,MLS,2020,MLS is Back Tournament — Group Stage,Houston Dynamo,Home,D,3,3,0,2.5,1.5,1,1,0,0,0.5,1.5
4-2020,4,7/18/20,MLS,2020,MLS is Back Tournament — Group Stage,LA Galaxy,Home,W,6,2,4,3.3,1,2.3,-1.7,0,0,2.7,1
5-2020,5,7/23/20,MLS,2020,MLS is Back Tournament — Group Stage,Portland Timbers,Home,D,2,2,0,1,1.9,-0.9,-0.9,0,0,1,0.1
6-2020,6,8/22/20,MLS,2020,Regular Season,LA Galaxy,Home,L,0,2,-2,0.4,1.6,-1.2,0.8,58,1,-0.4,0.4
7-2020,7,8/30/20,MLS,2020,Regular Season,Seattle Sounders,Away,L,1,3,-2,1,1.1,-0.1,1.9,0,0,0,1.9
8-2020,8,9/2/20,MLS,2020,Regular Season,SJ Earthquakes,Home,W,5,1,4,2.9,0.5,2.4,-1.6,0,0,2.1,0.5
9-2020,9,9/6/20,MLS,2020,Regular Season,LA Galaxy,Away,L,0,3,-3,1.8,1.5,0.3,3.3,0,0,-1.8,1.5
10-2020,10,9/9/20,MLS,2020,Regular Season,Real Salt Lake,Away,L,0,3,-3,1.5,2.2,-0.7,2.3,0,0,-1.5,0.8
11-2020,11,9/13/20,MLS,2020,Regular Season,Portland Timbers,Home,W,4,2,2,2.8,1.2,1.6,-0.4,0,0,1.2,0.8
12-2020,12,9/18/20,MLS,2020,Regular Season,Seattle Sounders,Away,L,0,3,-3,0.6,2.5,-1.9,1.1,0,0,-0.6,0.5
13-2020,13,9/23/20,MLS,2020,Regular Season,Vancouver W'caps,Home,W,6,0,6,2.5,0.4,2.1,-3.9,0,0,3.5,-0.4
14-2020,14,9/27/20,MLS,2020,Regular Season,SJ Earthquakes,Home,L,1,2,-1,1.2,1.9,-0.7,0.3,0,0,-0.2,0.1
15-2020,15,10/4/20,MLS,2020,Regular Season,Real Salt Lake,Away,W,3,1,2,2.4,1.5,0.9,-1.1,0,0,0.6,-0.5
16-2020,16,10/11/20,MLS,2020,Regular Season,Seattle Sounders,Home,W,3,1,2,0.9,2.1,-1.2,-3.2,0,0,2.1,-1.1
17-2020,17,10/14/20,MLS,2020,Regular Season,Vancouver W'caps,Away,L,1,2,-1,1.4,1.8,-0.4,0.6,0,0,-0.4,0.2
18-2020,18,10/18/20,MLS,2020,Regular Season,Portland Timbers,Away,D,1,1,0,1.6,1.5,0.1,0.1,0,0,-0.6,-0.5
19-2020,19,10/25/20,MLS,2020,Regular Season,LA Galaxy,Home,W,2,0,2,3.1,0.2,2.9,0.9,20,1,-1.1,-0.2
20-2020,20,10/28/20,MLS,2020,Regular Season,Houston Dynamo,Home,W,2,1,1,3.1,2,1.1,0.1,30,1,-1.1,-1
21-2020,21,11/4/20,MLS,2020,Regular Season,SJ Earthquakes,Away,L,2,3,-1,2.4,1.1,1.3,2.3,45,1,-0.4,1.9
22-2020,22,11/8/20,MLS,2020,Regular Season,Portland Timbers,Home,D,1,1,0,1.4,1.4,0,0,90,1,-0.4,-0.4
23-2020,23,11/24/20,MLS,2020,First Round,Seattle Sounders,Away,L,1,3,-2,2.5,2,0.5,2.5,90,1,-1.5,1
1-2021,1,4/17/21,MLS,2021,Regular Season,Austin,Home,W,2,0,2,3.2,0.8,2.4,0.4,22,1,-1.2,-0.8
2-2021,2,4/24/21,MLS,2021,Regular Season,Seattle Sounders,Home,D,1,1,0,0.6,0.8,-0.2,-0.2,0,0,0.4,0.2
3-2021,3,5/1/21,MLS,2021,Regular Season,Houston Dynamo,Away,D,1,1,0,1.3,1.4,-0.1,-0.1,0,0,-0.3,-0.4
4-2021,4,5/8/21,MLS,2021,Regular Season,LA Galaxy,Away,L,1,2,-1,1.2,1,0.2,1.2,0,0,-0.2,1
5-2021,5,5/16/21,MLS,2021,Regular Season,Seattle Sounders,Away,L,0,2,-2,0.6,1.3,-0.7,1.3,20,1,-0.6,0.7
6-2021,6,5/22/21,MLS,2021,Regular Season,Colorado Rapids,Home,W,2,1,1,1.5,1.1,0.4,-0.6,59,1,0.5,-0.1
7-2021,7,5/29/21,MLS,2021,Regular Season,NYCFC,Home,L,1,2,-1,2.3,1,1.3,2.3,90,1,-1.3,1
8-2021,8,6/19/21,MLS,2021,Regular Season,Houston Dynamo,Home,D,1,1,0,1.9,0.5,1.4,1.4,64,1,-0.9,0.5
9-2021,9,6/23/21,MLS,2021,Regular Season,FC Dallas,Home,W,2,0,2,3.1,0.8,2.3,0.3,76,1,-1.1,-0.8
10-2021,10,6/26/21,MLS,2021,Regular Season,Sporting KC,Away,L,1,2,-1,0.8,1.4,-0.6,0.4,33,1,0.2,0.6
11-2021,11,7/3/21,MLS,2021,Regular Season,Real Salt Lake,Away,W,1,0,1,0.6,1.3,-0.7,-1.7,90,1,0.4,-1.3
12-2021,12,7/7/21,MLS,2021,Regular Season,Austin,Away,W,2,0,2,2,0.7,1.3,-0.7,90,1,0,-0.7
13-2021,13,7/17/21,MLS,2021,Regular Season,Real Salt Lake,Home,W,2,1,1,4.8,0.9,3.9,2.9,90,1,-2.8,0.1
14-2021,14,7/21/21,MLS,2021,Regular Season,Portland Timbers,Away,L,1,2,-1,2.2,0.6,1.6,2.6,79,1,-1.2,1.4
15-2021,15,7/24/21,MLS,2021,Regular Season,Vancouver W'caps,Home,D,2,2,0,1,1.2,-0.2,-0.2,90,1,1,0.8
16-2021,16,7/28/21,MLS,2021,Regular Season,Minnesota Utd,Home,D,2,2,0,2.2,1.1,1.1,1.1,90,1,-0.2,0.9
17-2021,17,8/4/21,MLS,2021,Regular Season,Sporting KC,Home,L,1,4,-3,2.3,2,0.3,3.3,90,1,-1.3,2
18-2021,18,8/8/21,MLS,2021,Regular Season,SJ Earthquakes,Away,L,1,2,-1,1.6,1.8,-0.2,0.8,90,1,-0.6,0.2
19-2021,19,8/15/21,MLS,2021,Regular Season,Atlanta Utd,Away,L,0,1,-1,1.2,1.1,0.1,1.1,90,1,-1.2,-0.1
20-2021,20,8/21/21,MLS,2021,Regular Season,Vancouver W'caps,Away,L,1,2,-1,3.9,1.5,2.4,3.4,16,1,-2.9,0.5
21-2021,21,8/28/21,MLS,2021,Regular Season,LA Galaxy,Home,D,3,3,0,2.9,1.3,1.6,1.6,0,0,0.1,1.7
22-2021,22,9/3/21,MLS,2021,Regular Season,Sporting KC,Home,W,4,0,4,3.5,0.4,3.1,-0.9,0,0,0.5,-0.4
23-2021,23,9/12/21,MLS,2021,Regular Season,Real Salt Lake,Home,W,3,2,1,1,1,0,-1,0,0,2,1
24-2021,24,9/15/21,MLS,2021,Regular Season,Austin,Away,W,2,1,1,2.5,1.3,1.2,0.2,0,0,-0.5,-0.3
25-2021,25,9/19/21,MLS,2021,Regular Season,Portland Timbers,Away,L,1,2,-1,2.6,1.9,0.7,1.7,0,0,-1.6,0.1
26-2021,26,9/25/21,MLS,2021,Regular Season,SJ Earthquakes,Away,L,0,2,-2,1.3,1.7,-0.4,1.6,0,0,-1.3,0.3
27-2021,27,9/29/21,MLS,2021,Regular Season,Portland Timbers,Home,L,1,2,-1,1.2,1.1,0.1,1.1,0,0,-0.2,0.9
